time,event
1648516292.505768,start
1648516294.517089,4
1648516296.524182,3
1648516298.518045,4
1648516299.582721,key pressed
1648516300.530064,6
1648516302.547956,5
1648516304.570311,1
1648516306.570791,5
1648516307.811783,key pressed
1648516308.566119,6
1648516310.570959,8
1648516310.806122,key pressed
1648516312.58363,6
1648516313.734176,key pressed
1648516314.575993,2
1648516316.587876,9
1648516318.580766,7
1648516320.585059,9
1648516321.650727,key pressed
1648516322.597798,5
1648516324.592246,3
1648516326.597279,9
1648516327.797016,key pressed
1648516328.611844,3
1648516330.615188,5
1648516332.019888,key pressed
1648516332.60893,1
1648516334.613348,7
1648516336.616132,1
1648516337.663064,key pressed
1648516338.631376,2
1648516340.633117,1
1648516341.843773,key pressed
1648516342.645978,8
1648516344.641179,2
