time,event
1648509607.480146,start
1648509609.480259,4
1648509611.47715,3
1648509613.477402,4
1648509614.425904,key pressed
1648509615.486071,6
1648509617.501441,5
1648509619.504617,1
1648509621.504328,5
1648509622.504881,key pressed
1648509623.514759,6
1648509625.455744,key pressed
1648509625.535739,8
1648509627.544464,1
1648509629.544199,2
1648509631.542535,9
1648509633.545446,7
1648509635.567296,9
1648509636.337056,key pressed
1648509637.575662,5
1648509639.583942,3
1648509641.601595,9
