,pID,group,trial,null_percent,duration_asi,duration_percentage_asi,duration_average_asi,duration_alt,duration_percentage_alt,duration_average_alt,duration_runway,duration_percentage_runway,duration_average_runway,between_runway_mean_duration_all,between_runway_n_trans_1,between_runway_mean_duration_1,between_runway_n_trans_2,between_runway_mean_duration_2,between_runway_n_trans_3,between_runway_mean_duration_3
42,21,2,2,0.062333227,12.178563,0.118650883,0.419950448,6.739465,0.06565992,0.421216562,78.147683,0.761361714,1.776083705,0.900887841,26,1.056720769,15,1.3460494,2,1.7521
43,22,2,2,0.051896422,13.254763,0.117279468,0.473384393,13.953276,0.12345998,0.6976638,77.582075,0.686453953,1.583307653,1.078933679,33,1.229664091,9,1.643524444,4,2.24212975
44,25,2,2,0.090746335,35.497829,0.347879687,0.865800707,13.583602,0.133119668,0.452786733,42.590512,0.417388172,1.183069778,1.257204713,21,1.573929238,7,1.695222286,3,1.984771667
45,3,1,3,0.061679114,7.257204,0.075721276,0.558246462,17.240736,0.179888911,0.8620368,58.434289,0.609700225,1.826071531,1.328810161,19,1.571084,7,1.870951286,3,2.304116
46,4,1,3,0.041261011,8.488225,0.087942724,0.326470192,22.879269,0.237041929,0.486792957,52.448902,0.543399744,1.028409843,0.85930877,22,1.047823773,13,1.523068846,8,2.024845625
47,7,1,3,0.038892866,8.741123,0.081471912,0.34964492,9.264314,0.08634833,0.9264314,79.981122,0.745466566,2.221697833,0.965389343,23,1.019787304,5,2.2025128,4,2.19910725
48,10,1,3,0.063308373,19.979174,0.191316611,0.739969407,14.021922,0.134271147,0.58424675,58.77117,0.562781078,1.6325325,1.185154033,14,1.574439929,10,2.0395048,7,2.709990714
49,23,1,3,0.058672847,11.025575,0.12720807,0.344549219,6.966483,0.080376112,0.366657,60.825175,0.701773205,1.013752917,0.863175362,49,0.897615429,7,1.292780286,3,2.419459333
51,29,1,3,0.049608965,12.188498,0.120933395,0.406283267,13.857005,0.137488201,0.461900167,61.63154,0.611503679,1.369589778,0.930625292,24,1.015624542,6,2.192939167,11,2.285022909
52,31,1,3,0.107404022,15.095622,0.180178712,0.52053869,7.173116,0.085617062,0.421948,50.707068,0.60523072,1.236757756,1.043432654,23,1.164908913,10,1.6846686,4,2.42409725
53,32,1,3,0.041868376,2.797267,0.02880842,0.399609571,11.005562,0.113343791,0.478502696,77.814815,0.801397163,1.995251667,0.890116399,35,0.892185029,2,1.5745575,1,3.070169
54,1,2,3,0.076125412,14.94275,0.173946556,0.515267241,9.087403,0.105785244,0.395104478,57.620875,0.670756906,1.405387195,1.02199379,25,1.09393932,9,1.937317667,4,2.75064975
55,2,2,3,0.047038108,10.275476,0.114542465,0.321108625,13.69282,0.152636175,0.427900625,53.836045,0.600119478,1.121584271,0.908770108,26,1.095522577,11,1.454261909,5,1.8879868
56,5,2,3,0.110974778,7.110221,0.095167621,0.296259208,8.061404,0.107898846,0.424284421,45.424873,0.607994761,1.465318484,0.989221756,10,1.3641617,11,1.921607182,6,1.971257667
57,6,2,3,0.04235266,9.496408,0.092284089,0.365246462,9.578544,0.093082269,0.456121143,76.782723,0.7461583,1.599640062,0.888256537,38,0.898758211,7,1.761380857,1,1.492083
58,11,2,3,0.040803971,10.712649,0.100166445,0.595147167,7.290402,0.06816742,0.662763818,82.097176,0.767632939,3.420715667,1.16472646,12,1.30281725,6,1.972608833,2,4.361177
59,14,2,3,0.045454545,22.322883,0.260643906,0.797245821,13.11956,0.153185113,0.345251579,36.504344,0.426227866,1.14076075,1.004493145,12,1.143697083,9,2.299324778,5,1.8548728
60,15,2,3,0.13938083,12.768005,0.182836589,0.491077115,4.087153,0.058527633,0.340596083,45.264797,0.648187486,1.191178868,1.180739032,23,1.415710435,6,1.943085167,7,2.047381143
61,16,2,3,0.051220166,11.915665,0.135905949,0.4766266,9.222373,0.105187193,0.512354056,60.003574,0.684379989,1.50008935,1.028538263,26,1.193128692,10,1.4164591,1,2.097111
62,19,2,3,0.07747431,17.739926,0.211434038,0.70959704,15.564468,0.185505752,0.399088923,38.64482,0.460589878,1.044454595,0.886781108,9,1.360078222,6,1.836438667,10,2.269717
63,20,2,3,0.035456731,15.355833,0.149948456,0.697992409,17.155167,0.167518806,0.745876826,56.58864,0.552583451,1.529422703,1.11472398,20,1.2499612,11,1.898493909,1,1.277063
64,21,2,3,0.096268253,13.688842,0.176979918,0.488887214,7.744593,0.100128078,0.430255167,48.213082,0.623335947,1.339252278,0.962152657,19,1.216640579,5,1.6844898,7,1.701652714
65,22,2,3,0.04417821,11.035192,0.110597824,0.613066222,6.738378,0.067533936,0.4492252,66.803427,0.669522894,1.590557786,1.049229776,29,1.134832241,8,1.9167425,1,1.876108
66,25,2,3,0.062148371,29.079769,0.36026213,0.660903841,9.920543,0.122903175,0.413355958,33.92159,0.420246263,0.892673421,1.066169098,18,1.321072389,9,1.847870556,3,1.788081333
