index,null_percent,mean_fixation_duration,fixation_rate,Hs,Ht,N_unique_seq_3,count_of_most_seq_3,N_unique_seq_more_than_2_times_3,mean_repetition_3,N_unique_seq_4,count_of_most_seq_4,N_unique_seq_more_than_2_times_4,mean_repetition_4,N_unique_seq_5,count_of_most_seq_5,N_unique_seq_more_than_2_times_5,mean_repetition_5,N_unique_seq_6,count_of_most_seq_6,N_unique_seq_more_than_2_times_6,mean_repetition_6,pID,group,trial
36,0.06313052522100884,0.7032631212121219,1.057821470406207,2.373599209446572,1.8205774187798442,66,0.06134969325153374,37,3.6216216216216215,110,0.030864197530864196,38,2.3684210526315788,141,0.018633540372670808,19,2.0526315789473686,155,0.0125,5,2.0,019,2,2
37,0.023581578151768617,1.1003776355932204,0.7330002534627915,2.39527029381495,1.764753236832343,54,0.0603448275862069,29,3.1379310344827585,87,0.034782608695652174,19,2.473684210526316,104,0.017543859649122806,10,2.0,109,0.017699115044247787,4,2.0,020,2,2
38,0.06233322659835628,0.9592709532710341,0.7057920208747684,2.129291172987059,1.4267425404664065,39,0.13333333333333333,24,3.75,60,0.08653846153846154,18,3.4444444444444446,79,0.06796116504854369,12,3.0,92,0.0392156862745098,6,2.6666666666666665,021,2,2
39,0.05189642204792092,0.9418217916666777,0.7947721267109965,2.1945559721847214,1.5262747430566088,48,0.1440677966101695,23,4.043478260869565,72,0.07692307692307693,19,3.3684210526315788,89,0.0603448275862069,16,2.6875,98,0.034782608695652174,15,2.1333333333333333,022,2,2
41,0.0907463354593264,0.7789353740458066,0.9035705009089992,2.1913722580700608,1.5891382135782284,48,0.13953488372093023,25,4.24,75,0.09375,23,3.3043478260869565,96,0.07874015748031496,13,3.3846153846153846,107,0.047619047619047616,11,2.727272727272727,025,2,2
47,0.0616791140870461,1.1547110361445765,0.6588168297442056,2.2038627263706774,1.422742296958386,35,0.09876543209876543,20,3.3,56,0.0625,14,2.7142857142857144,67,0.05063291139240506,9,2.3333333333333335,74,0.02564102564102564,4,2.0,003,1,3
48,0.041261010662957814,0.6227091870967731,1.1077745339201233,2.2542899622472135,1.632894065896838,56,0.09803921568627451,31,4.129032258064516,93,0.07236842105263158,27,3.185185185185185,120,0.033112582781456956,18,2.7222222222222223,136,0.02666666666666667,11,2.272727272727273,004,1,3
51,0.03889286566451921,1.153656118279575,0.6839396080443596,2.276228319131485,1.5306478560010761,45,0.17582417582417584,15,4.066666666666666,60,0.12222222222222222,10,4.0,68,0.10112359550561797,8,3.625,74,0.06818181818181818,6,3.3333333333333335,007,1,3
52,0.06330837304288632,0.940809882882893,0.7763740616111852,2.3904327568776487,1.7779400534134526,59,0.07339449541284404,20,3.5,82,0.037037037037037035,17,2.5294117647058822,95,0.028037383177570093,10,2.2,100,0.02830188679245283,5,2.2,010,1,3
61,0.058672847035862404,0.6516808270676818,1.0000618233707654,2.0742124736347947,1.3052333416256108,40,0.183206106870229,21,5.333333333333333,61,0.09230769230769231,26,3.6538461538461537,80,0.07751937984496124,20,3.45,91,0.0625,15,3.466666666666667,023,1,3
63,0.19540067720090293,1.1180679090909136,0.47832792698120685,2.0259352899024607,1.0346165641960783,24,0.22641509433962265,10,3.9,31,0.17307692307692307,8,3.625,35,0.1568627450980392,6,3.6666666666666665,38,0.12,5,3.4,027,1,3
64,0.04960896463172639,0.7752835923076943,0.9366731292789479,2.273875306400886,1.528943140717925,48,0.078125,26,4.076923076923077,79,0.047244094488188976,31,2.5483870967741935,105,0.031746031746031744,16,2.3125,117,0.024,6,2.3333333333333335,029,1,3
65,0.10740402193784278,0.7616489545454483,0.7747600693083456,2.311927078763445,1.465232492800391,41,0.10185185185185185,24,3.7916666666666665,64,0.08411214953271028,23,2.869565217391304,80,0.03773584905660377,18,2.4444444444444446,91,0.02857142857142857,12,2.1666666666666665,031,1,3
66,0.041868376292031925,1.1987523456790092,0.6532857348809211,2.001161898516983,1.086253361851879,25,0.26582278481012656,10,6.4,34,0.23076923076923078,8,6.5,40,0.22077922077922077,5,8.4,43,0.21052631578947367,4,9.25,032,1,3
45,0.07612541173600097,0.810417537735845,0.7971317934692285,2.05492145890739,1.2942792872416953,29,0.1346153846153846,21,4.571428571428571,47,0.07766990291262135,25,3.24,68,0.058823529411764705,21,2.619047619047619,82,0.039603960396039604,15,2.2666666666666666,001,2,3
46,0.04703810841403597,0.6500643333333336,1.0698704894638098,2.2759813846930323,1.6654565317281047,54,0.11029411764705882,25,4.28,84,0.06666666666666667,26,2.9615384615384617,110,0.04477611940298507,17,2.411764705882353,125,0.022556390977443608,7,2.142857142857143,002,2,3
49,0.11097477845944104,0.7253651067961159,0.8659823825216707,2.3514726252467684,1.7883231889531652,48,0.0594059405940594,28,2.892857142857143,78,0.04,15,2.466666666666667,90,0.020202020202020204,9,2.0,94,0.02040816326530612,4,2.0,005,2,3
50,0.04235266046289669,0.9528154259259265,0.7958678482366374,1.935420214796108,1.1743765024583575,27,0.16981132075471697,15,6.266666666666667,42,0.10476190476190476,18,4.5,57,0.08653846153846154,20,3.35,70,0.05825242718446602,17,2.9411764705882355,006,2,3
53,0.040803971425111996,1.596245970149259,0.5008452960419173,2.2578578792894195,1.4765108643144984,36,0.09230769230769231,13,3.230769230769231,48,0.0625,11,2.4545454545454546,55,0.031746031746031744,8,2.0,60,0.03225806451612903,2,2.0,011,2,3
54,0.045454545454545456,0.6344084222222237,1.0306843825991734,2.50586183261283,1.9617888205205267,74,0.05263157894736842,34,2.735294117647059,107,0.030303030303030304,20,2.25,124,0.015267175572519083,7,2.0,129,0.015384615384615385,1,2.0,014,2,3
55,0.13938083006624308,0.7125803775510244,0.8166909972526262,2.2726384809064797,1.39422235588595,43,0.17708333333333334,18,3.9444444444444446,61,0.12631578947368421,13,3.6153846153846154,70,0.10638297872340426,11,3.1818181818181817,77,0.06451612903225806,9,2.7777777777777777,015,2,3
56,0.05122016626441405,0.9038743917525732,0.8024124522103413,2.1340011099752267,1.3565885523427361,34,0.14736842105263157,20,4.05,54,0.07446808510638298,18,3.2222222222222223,72,0.06451612903225806,13,2.6153846153846154,81,0.043478260869565216,7,2.5714285714285716,016,2,3
57,0.07747431043807464,0.5867334685314722,1.1918840365178254,2.4132670940633156,1.8817274611826087,63,0.05673758865248227,32,3.4375,100,0.02857142857142857,30,2.3333333333333335,126,0.02158273381294964,11,2.1818181818181817,134,0.014492753623188406,4,2.0,019,2,3
58,0.03545673076923077,0.9062602654867319,0.8372237069153934,2.3553815812613417,1.8378257587247964,60,0.09009009009009009,25,3.04,85,0.05454545454545454,16,2.5625,97,0.03669724770642202,9,2.3333333333333335,105,0.018518518518518517,3,2.0,020,2,3
59,0.09626825310978908,0.7296874150943448,0.8835204482389292,2.2572658931903846,1.6644975107370237,50,0.14423076923076922,18,4.0,71,0.0970873786407767,12,3.6666666666666665,83,0.0784313725490196,7,3.7142857142857144,89,0.0594059405940594,4,4.0,021,2,3
60,0.04417821040808686,0.9594005673076942,0.8000577703253077,2.2570405915273,1.5893926413188344,45,0.0784313725490196,24,3.375,69,0.039603960396039604,18,2.7777777777777777,81,0.04,13,2.4615384615384617,91,0.030303030303030304,7,2.142857142857143,022,2,3
62,0.06214837105848489,0.6115027424242326,1.0646164519616228,2.25936628867452,1.6256387616860501,54,0.11538461538461539,25,4.04,80,0.07751937984496124,25,2.96,96,0.0703125,20,2.6,103,0.05511811023622047,15,2.6,025,2,3
