,pre_CPL,CPL
BXBXBX,3.1875,8.777777777777779
XBXBXB,2.8125,9.0
EXBXBX,1.3125,2.6666666666666665
XBXBXE,1.625,2.111111111111111
BXBXEX,1.0625,2.0
XEXBXB,1.0625,1.8888888888888888
BXEXBX,1.125,1.3333333333333333
