,group,trial,null_percent,duration_rpmleft,duration_percentage_rpmleft,duration_average_rpmleft,duration_nrst,duration_percentage_nrst,duration_average_nrst,duration_asi,duration_percentage_asi,duration_average_asi,duration_hsi,duration_percentage_hsi,duration_average_hsi,duration_alt,duration_percentage_alt,duration_average_alt,duration_runway,duration_percentage_runway,duration_average_runway,duration_unknown,duration_percentage_unknown,duration_average_unknown,between_runway_mean_duration_all,between_runway_n_trans_1,between_runway_mean_duration_1,between_runway_n_trans_2,between_runway_mean_duration_2,between_runway_n_trans_3,between_runway_mean_duration_3
count,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
mean,1.5970149253731343,2.014925373134328,0.07065974324033265,3.255366000000008,0.03477883369185671,0.41418440568606074,3.2627992238805987,0.032677458954992536,0.5515820175105143,13.500068686567177,0.13932957838175947,0.5175596255133748,1.9879856268657008,0.020487160142907922,0.29901917630697983,11.091023134328296,0.1141873327530825,0.5041335409262826,63.235094298507676,0.6315524212035306,1.581829928398814,2.6968952089552145,0.026987214871870346,0.33906650940361505,1.109181442235498,24.417910447761194,1.2777019074724818,9.0,1.8291261886749222,4.208955223880597,2.3703702233529262
std,0.49419973549339014,0.8070247886514792,0.03951610962979365,3.460493745517761,0.040918138159031954,0.323968471956548,2.2030907812575515,0.019701630103071292,0.23079626683484308,6.482554562363767,0.068356669626049,0.15132604127428,2.112126067745524,0.021597093856743958,0.18538225680805015,4.74923830918938,0.05171954579696856,0.13988810828442466,16.598646220312315,0.1089004195935832,0.5751464227758267,2.975769161007951,0.027263063363180726,0.19246871894333165,0.3370631611641745,9.012027743658193,0.3770233435287153,4.372780822452929,0.6835621383068872,2.5556669854245415,0.6214778419803902
min,1.0,1.0,0.02110286320254507,0.0,0.0,0.0,0.0,0.0,0.0,2.345144000000005,0.02256148529156043,0.29625920833331537,0.0,0.0,0.0,2.3351119999998673,0.03644320492326437,0.29323457142857023,13.286731999999972,0.28719214356827377,0.6993016842105249,0.0,0.0,0.0,0.7876187649146384,6.0,0.8921850285714202,1.0,1.1403320909090864,1.0,1.2770629999999983
25%,1.0,1.0,0.04244006095804312,0.0,0.0,0.0,1.9761479999999665,0.01953978831447172,0.40808493749999997,9.384505500000188,0.09372585526107122,0.40347101212120184,0.5305179999999723,0.004997924838757279,0.20038912499998673,7.517497500000218,0.0796366491141372,0.4121287291666592,54.30339600000008,0.563256371922225,1.194586679973241,0.8420420000000206,0.009504869598823138,0.19834187500001121,0.9260811657664598,19.0,1.0583324982517435,6.0,1.4930545952380923,2.0,1.8989197500000046
50%,2.0,2.0,0.0612094395280236,2.1440880000000107,0.022235912001329027,0.4474211999999625,2.9770959999998468,0.029898888102059134,0.544076833333321,12.178563000000054,0.12381458162410293,0.5051949166666674,1.3481049999999186,0.013325135605003204,0.31370285714288976,10.118285999999898,0.1031726711484102,0.46190016666667666,65.41452899999967,0.6477028989439757,1.4270865000000015,1.7230649999999628,0.017167825175948937,0.30638009090910145,1.0434326541666745,24.0,1.2166405789473809,9.0,1.7328332499999988,4.0,2.2421297499999753
75%,2.0,3.0,0.08659182273868091,5.603765000000294,0.053808897199083605,0.5977487941176358,4.201590999999979,0.04269154995708273,0.6364582500000135,15.55357750000013,0.17314247068160743,0.596232097523216,2.8956424999999513,0.030342418487591616,0.3966311071428752,13.838363000000214,0.14330733118260913,0.5686874857456121,77.39129149999977,0.7112328682962676,1.9284205721103027,3.375663999999972,0.03604211966700156,0.4212772499999934,1.170611722719519,30.0,1.3667705700000021,11.0,1.931992000000006,6.0,2.736518232142842
max,2.0,3.0,0.19852861625013524,11.14652600000045,0.18192025550608565,1.0954668000000196,11.620250999999882,0.09862152575730143,1.4434146666666645,36.64373200000023,0.3644468352975317,1.0178814444444508,10.65891999999991,0.09046267187559176,0.8897225714286086,24.16394699999961,0.259977161636217,0.9264314000000013,96.16300800000033,0.8016699289343869,3.4207156666666663,16.730779000000098,0.1288523667926306,0.9712879999999586,3.011078935606078,51.0,3.3090329285714444,21.0,6.008976499999998,11.0,4.373866666666667
