,pre_CPL,CPL
BXBX,7.125,14.222222222222221
XBXB,6.3125,14.777777777777779
EXEX,5.5625,2.3333333333333335
XEXE,5.5,2.2222222222222223
EXBX,4.0625,4.555555555555555
XBXE,4.0625,3.7777777777777777
XEXB,3.625,3.4444444444444446
BXEX,3.375,3.2222222222222223
XEBX,3.5625,2.3333333333333335
XBEX,1.9375,3.3333333333333335
BXEB,2.0,1.6666666666666667
EBXB,1.6875,1.8888888888888888
BEXB,1.25,2.6666666666666665
BXBE,1.0,2.6666666666666665
EBXE,1.8125,1.2222222222222223
EXEB,1.6875,1.3333333333333333
EXBE,1.125,2.0
BEXE,1.3125,1.6666666666666667
DXBX,1.0625,1.2222222222222223
