,pre_CPL,CPL
XBXBX,5.3125,12.333333333333334
BXBXB,3.75,10.444444444444445
XEXBX,2.75,2.5555555555555554
EXBXB,1.6875,3.4444444444444446
XBXEX,2.0,2.7777777777777777
EXEXE,3.0,1.0
BXBXE,1.9375,2.5555555555555554
BXEXB,1.375,1.7777777777777777
EXEXB,1.625,1.2222222222222223
XBEXB,1.0,2.3333333333333335
EBXBX,1.375,1.5555555555555556
BXEBX,1.375,1.2222222222222223
